gid,role,role_score,cluster_id,priority_score,evidence
100000000343175100,distributor,0.9881988472622478,10,0.9959964412811388,"Гипотеза распределения: 31 получателей; выход ≈4,00 млн ₸. Исходящий объём преобладает. Внешние поступления могут быть скрыты."
100000000456947100,peripheral,0.35,70,0.004448398576512456,"Недостаточно признаков специальной роли: 0 отправителей, 0 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000000580561100,peripheral,0.3563400576368876,42,0.9119217081850534,"Недостаточно признаков специальной роли: 2 отправителей, 3 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000001415126100,peripheral,0.4162200508626641,17,0.5400355871886121,"Недостаточно признаков специальной роли: 1 отправителей, 0 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000001429930100,peripheral,0.4189208569387579,12,0.5066725978647687,"Недостаточно признаков специальной роли: 1 отправителей, 0 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000001616816100,peripheral,0.3521233314250741,7,0.9768683274021353,"Недостаточно признаков специальной роли: 5 отправителей, 3 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000001732159100,peripheral,0.3174027377521614,38,0.9666370106761566,"Недостаточно признаков специальной роли: 2 отправителей, 4 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000002527114100,distributor,0.9675144092219021,1,0.979982206405694,"Гипотеза распределения: 111 получателей; выход ≈3,29 млн ₸. Исходящий объём преобладает. Внешние поступления могут быть скрыты."
100000002916006100,peripheral,0.8717759365994235,17,0.20462633451957296,"Недостаточно признаков специальной роли: 0 отправителей, 1 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000003016635100,distributor,0.9168597468329015,5,0.9955516014234875,"Гипотеза распределения: 73 получателей; выход ≈9,41 млн ₸. Исходящий объём преобладает. Внешние поступления могут быть скрыты."
100000003200071100,peripheral,0.8929466858789625,66,0.08852313167259787,"Недостаточно признаков специальной роли: 0 отправителей, 1 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000003265658100,peripheral,0.35,71,0.004448398576512456,"Недостаточно признаков специальной роли: 0 отправителей, 0 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
100000003349739100,peripheral,0.35,72,0.004448398576512456,"Недостаточно признаков специальной роли: 0 отправителей, 0 получателей. Это не отсутствие риска. Внешние поступления могут быть скрыты."
