cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,sum_kzt_boundary,dominant_role,dominant_role_count,mean_cluster_stability,n_fifo_1d_80
0,276,1,29434695.389999993,100000004070318100|100000006866783100|100000008477350100|100000004400305100|100000000437046100,Гипотеза для проверки: профиль=terminal 48/276; seed=1; internal=29434695 KZT; FIFO>=80%: 32,12443509.89,terminal,48,0.9022509281710185,32
1,270,1,10178044.0,100000002527114100|100000001697501100|100000002578405100|100000002733905100|100000001166289100,Гипотеза для проверки: профиль=terminal 25/270; seed=1; internal=10178044 KZT; FIFO>=80%: 10,0.0,terminal,25,1.0,10
2,153,1,32078820.59,100000008489922100|100000008710791100|100000008547948100|100000008547844100|100000002838861100,Гипотеза для проверки: профиль=terminal 49/153; seed=1; internal=32078821 KZT; FIFO>=80%: 17,5668114.0,terminal,49,0.7359955830760209,17
3,142,5,19232090.0,100000003684369100|100000008165763100|100000008304139100|100000007908818100|100000008748914100,Гипотеза для проверки: профиль=terminal 52/142; seed=5; internal=19232090 KZT; FIFO>=80%: 12,8504866.74,terminal,52,0.9153879342645903,12
4,130,0,17361508.0,100000008603629100|100000001857829100|100000005527892100|100000004679953100|100000002723538100,Гипотеза для проверки: профиль=terminal 27/130; seed=0; internal=17361508 KZT; FIFO>=80%: 14,7285125.0,terminal,27,0.7706996607813912,14
5,129,7,18799215.28,100000003016635100|100000001530983100|100000005287097100|100000004150593100|100000006518161100,Гипотеза для проверки: профиль=terminal 31/129; seed=7; internal=18799215 KZT; FIFO>=80%: 15,2149554.0,terminal,31,0.9528133624902829,15
6,126,0,24907250.330000002,100000000331309100|100000006889963100|100000006734214100|100000005665181100|100000003796063100,Гипотеза для проверки: профиль=terminal 46/126; seed=0; internal=24907250 KZT; FIFO>=80%: 11,9636976.75,terminal,46,0.9413831657200864,11
7,106,4,16242879.02,100000005782781100|100000001616816100|100000004015047100|100000005514161100|100000006788200100,Гипотеза для проверки: профиль=terminal 35/106; seed=4; internal=16242879 KZT; FIFO>=80%: 8,2994939.2,terminal,35,0.8189559815987855,8
8,106,0,6254194.67,100000005473151100|100000006707582100|100000005704413100|100000005578559100|100000004569484100,Гипотеза для проверки: профиль=terminal 12/106; seed=0; internal=6254195 KZT; FIFO>=80%: 6,975512.0,terminal,12,0.6593191969247182,6
9,53,1,3021863.0,100000001899164100|100000003265158100|100000008636603100|100000004386258100|100000004420041100,Гипотеза для проверки: профиль=terminal 10/53; seed=1; internal=3021863 KZT; FIFO>=80%: 7,489714.4,terminal,10,0.9476133071491688,7
10,53,1,5947339.0,100000003115284100|100000000343175100|100000003635170100|100000008730846100|100000003390036100,Гипотеза для проверки: профиль=terminal 18/53; seed=1; internal=5947339 KZT; FIFO>=80%: 5,2737139.0,terminal,18,0.7468656747882068,5
11,51,0,13990812.0,100000008512827100|100000005242320100|100000001287955100|100000002748180100|100000008742053100,Гипотеза для проверки: профиль=terminal 23/51; seed=0; internal=13990812 KZT; FIFO>=80%: 6,2910345.0,terminal,23,0.9718749999999998,6
12,50,3,4135421.0,100000008346837100|100000005074393100|100000008733194100|100000001236706100|100000008003034100,Гипотеза для проверки: профиль=transit 7/50; seed=3; internal=4135421 KZT; FIFO>=80%: 6,1168122.0,transit,7,0.9417466227816823,6
13,44,0,10215968.84,100000005933757100|100000004159526100|100000001937767100|100000002963189100|100000005958064100,Гипотеза для проверки: профиль=terminal 7/44; seed=0; internal=10215969 KZT; FIFO>=80%: 3,770850.0,terminal,7,0.9960106382978726,3
